body,size
101309,4098477578
10463,4082785727
10466,4078194193
10465,4074655858
10462,4074122248
10477,4066590093
10409,4064013977
10418,4062156210
10470,4061485019
100679,4059610204
10469,4058191076
10474,4053326051
10471,4053275679
10473,4049905618
10468,4047579634
10472,4047144832
101896,4045452532
10475,4030748128
10480,4030084395
10476,4030048343
10478,4029556859
10479,4026930758
10482,4024466514
10481,4018757452
10324,4013926027
10485,4012768459
10484,4003897083
10492,4000685154
10488,4000508658
10491,3995815854
10464,3994570369
10487,3992815216
10287,3990996253
10489,3990944544
10490,3988592292
10496,3985448409
10494,3976643538
10230,3972835662
10498,3970128908
10499,3967501886
10223,3961327249
10504,3960889865
10508,3956313358
10506,3947699401
10510,3942377760
10509,3939169811
10505,3937651324
10512,3924232142
10513,3920750101
10519,3915393707
10423,3912555645
10511,3909341356
10503,3907609687
10502,3905004523
10518,3897301876
10454,3893361530
101794,3892791096
10507,3892191027
10516,3886373266
10522,3883911652
10455,3878025538
10521,3877554289
10395,3874744822
10528,3874737133
10306,3870208748
10520,3869487085
100544,3868381116
10530,3861041879
10526,3860848659
10531,3855176623
10532,3854789886
10533,3854639976
10534,3852119265
10535,3850508955
10536,3846852847
10537,3837873699
10563,3836140192
10538,3835885407
10539,3832219049
10523,3831460459
10524,3827896979
10547,3824317514
10550,3821603634
10546,3821192236
10544,3819508966
10548,3816048066
10493,3813803362
10540,3800716593
10554,3800291887
10545,3796556399
10567,3794739349
10560,3794380098
10556,3794049236
10559,3790591776
10557,3786101062
10542,3783777664
10555,3781730425
10564,3780193529
10571,3779774919
10561,3776264471
10565,3775408108
10185,3774823982
10562,3772483635
10569,3769200040
10570,3766542533
10572,3764318445
10579,3761348826
10500,3759162710
100818,3758424682
10580,3752661151
10575,3748328220
10577,3746350120
10574,3744853688
10582,3737642806
10584,3730190876
10585,3730182903
10583,3729198833
10194,3726512617
10543,3720016666
10578,3715483932
100821,3712673872
10587,3711147490
10586,3710735320
101691,3710034298
10549,3709262148
10591,3707083629
10589,3703184795
10590,3702352011
10527,3700719998
10593,3698083137
10592,3697681611
10594,3696127809
10599,3694744451
10603,3690883323
10597,3686156654
10606,3684531870
10601,3684401870
10605,3677486697
10598,3676553839
10610,3666740238
10608,3663086102
10611,3654048017
10613,3653546062
10618,3653375602
10596,3653286547
10624,3652738774
