new_body,orig_body,size
10245,7501280486,5056152538
10246,16068493152,5049578617
10247,841369733300,5048688817
10248,6609226010,5047222831
10249,3765635650,5038803324
10250,2619434510,5037362548
10251,23533998333,5025559446
10252,17070771047,5024931484
10253,14073869813,5019287729
10254,841369749848,5015602331
10255,12008657676,5002126973
10256,841369752519,4990470981
10257,10405831442,4986852633
10258,6280410123,4983868449
10259,36361282679,4974798350
10260,841369745274,4973135742
10261,841369735745,4962281394
10262,4660877602,4932968942
10263,4235625050,4923105818
10264,841369733822,4917260337
10265,841369733238,4909472772
10266,5485008780,4904670385
10267,31741095389,4888992301
10268,33460295347,4888018051
10269,21860470788,4883995326
10270,15244834058,4883339155
10271,13663435497,4877438686
10272,8757147847,4871613112
10273,3850618468,4863289264
10274,841369749759,4860233910
10275,841369733964,4853957594
10276,7547813880,4848621523
10277,841369735165,4843546096
10278,3825580966,4834582013
10279,11169524701,4831122063
10280,32617344411,4819640377
10281,7568885409,4816351142
10282,6287666289,4813093502
10283,4232433234,4808594895
10284,21443082314,4808370882
10285,841369733411,4807932780
10286,841369734567,4803706241
10287,18195267553,4802185647
10288,841369734304,4789363609
10289,3033614396,4784564545
10290,841369744293,4781078549
10291,11211643989,4772248796
10292,841369732991,4771184735
10293,35986229340,4769206499
10294,7950976246,4759062063
10295,9149574815,4757196476
10296,2152130233,4753267712
10297,12428875181,4744931084
10298,5071458974,4744731026
10299,47914067,4744576369
10300,22769613101,4742260366
10301,27243901537,4728972103
10302,4667905772,4728794624
10303,841369729892,4727586610
10304,27194766667,4727135150
10305,17863364188,4723716136
10306,5502698813,4711193974
10307,14066603578,4698362355
10308,841369750994,4683969926
10309,38880178081,4682229390
10310,6280604049,4681019433
10311,5499155501,4678682254
10312,17030789468,4678460604
10313,841369754103,4672117468
10314,12439450646,4666026708
10315,16150999259,4660885043
10316,30579400353,4654250934
10317,37966026993,4648808418
10318,841369735071,4646946250
10319,841369733700,4643949252
10320,841369748813,4641129609
10321,841369737831,4638012366
10322,6284364745,4632887361
10323,18995332430,4617768158
10324,4657499710,4617316242
10325,841369733002,4614671046
10326,841369733789,4608907225
10327,54910503,4605102170
10328,841369749181,4604637013
10329,841369733963,4599208447
10330,841369733576,4596796795
10331,26048052724,4595140785
10332,40424536186,4594874897
10333,841369734008,4588308796
10334,15673278378,4588143228
10335,14894543511,4585590384
10336,2134946282,4585387393
10337,7939354241,4584571239
10338,9974647479,4576340042
10339,24871151267,4553983431
10340,6287553807,4551482871
10341,841369732956,4544980673
10342,841369752423,4543066516
10343,841369749562,4541839732
10344,841369738543,4541724533
10345,841369733561,4532279138
10346,2612521989,4527016073
10347,3418730526,4521562465
10348,5803141487,4515018092
10349,841369735215,4511846167
10350,841369733957,4505972281
10351,4657255174,4500587154
10352,4250761734,4499478612
10353,841369733269,4498667065
10354,33498944583,4495762239
10355,841369733504,4495183027
10356,564631858,4494667326
10357,841369733234,4491334568
10358,7104572250,4487737454
10359,51530202,4482273339
10360,9585129335,4478619418
10361,841369750179,4474185883
10362,841369734847,4472518739
10363,35993149302,4464621877
10364,6698068879,4463344175
10365,33013393296,4462105542
10366,841369751684,4458189210
10367,6294939194,4455332303
10368,841369736331,4443629634
10369,4667879019,4442571249
10370,841369747938,4440999808
10371,20764107316,4440158109
10372,5082084148,4438954687
10373,841369751211,4437075551
10374,5920085519,4435929465
10375,841369738419,4434311904
10376,841369736003,4429653651
10377,3822480011,4429082953
10378,18149631295,4427821092
10379,841369737322,4422123005
10380,4254105783,4419334532
10381,23215232293,4416676677
10382,17332617446,4413390188
10383,55028412,4411615467
10384,10016982609,4406842225
10385,32196412536,4402412265
10386,55028438,4399441659
10387,841369735254,4399108095
10388,841369751030,4398581614
10389,38011738813,4393464125
10390,15301363166,4379307134
10391,27672926329,4377515408
10392,16468154607,4374577873
10393,841369733155,4371618509
10394,19532938813,4371118981
10395,31412063627,4368788449
10396,12864502342,4364970935
10397,841369748136,4359894551
10398,14879998670,4358177020
10399,9960387984,4357427906
10400,23982762650,4355215621
10401,47992665,4353426849
10402,18970338561,4350041638
10403,5470427759,4348282492
10404,5481813608,4347362025
10405,3839657111,4338443506
10406,841369733062,4330817960
10407,26398815766,4328881509
10408,841369734493,4325180695
10409,14902167842,4310818838
10410,5873752811,4307852873
10411,143466977,4307763278
10412,15836319672,4306744028
10413,12040218671,4305526723
10414,4689016261,4301142711
10415,3040877932,4299565079
10416,5071463468,4298561420
10417,6312980477,4295474581
10418,23582661162,4288505180
10419,24452505238,4284831053
10420,7087041652,4284573777
10421,6723259186,4275264472
10422,23205007511,4261057604
10423,11637215665,4258908369
10424,35954542394,4253273043
10425,4650302196,4243001967
10426,5930728095,4236740388
10427,38834096176,4228633701
10428,9164630556,4224363939
10429,6284133115,4213051788
10430,4267689305,4211944222
10431,19946742735,4196167561
10432,5884350403,4193919554
10433,841369750952,4191653971
10434,35913899567,4190406088
10435,10002635630,4186633181
10436,24333214868,4183630305
10437,841369736284,4182624667
10438,2952240484,4181786750
10439,17763922915,4181408528
10440,11194161814,4165786830
10441,22348452988,4165718203
10442,7480132755,4163046769
10443,23629436267,4160460505
10444,19136678366,4156835588
10445,37617350004,4153353277
10446,14926572867,4152966902
10447,5881597162,4152810188
10448,841369744532,4152023144
10449,19946701505,4148144071
10450,841369734073,4142922655
10451,9149337661,4136054002
10452,11636939357,4133230607
10453,9566541268,4132433973
10454,841369734460,4130470850
10455,12474469490,4118963890
10456,11607971316,4116537045
10457,12967532656,4110828278
10458,18283114230,4109109009
10459,841369738160,4108861975
10460,5470503487,4102749965
10461,841369735143,4090949629
10462,146965153,4089242235
10463,16147537399,4082638119
10464,841369735785,4075859133
10465,9160856438,4074643573
10466,8686791905,4072872532
10467,19532901241,4069301771
10468,25186069622,4064093885
10469,5425140093,4056938200
10470,13666935326,4054834460
10471,3033841854,4052747268
10472,841369748956,4041150882
10473,9500614241,4038748292
10474,14491890897,4038254613
10475,2187541873,4030742653
10476,9545630758,4030018721
10477,5071269805,4028980056
10478,16213607530,4026924863
10479,6312946096,4025201256
10480,14013693883,4022143361
10481,23105215576,4018599358
10482,12347513077,4015901198
10483,841369733172,4012662790
10484,841369752583,4003882040
10485,5481734670,4002045895
10486,841369734182,3996264638
10487,19932720715,3992690555
