body,boxed_size,full_size
43758155911,345847,345847
38819597132,336494,362565171
43761693743,335384,335384
44168467309,331210,331210
43758080501,328015,638321
841369745355,324168,1596637301
21549489015,318222,7003808769
841369730326,317405,201313443
43761695158,317360,317360
40468359580,314789,247098526
35515569166,311321,831593730
43758115128,300922,300922
44168507137,298752,298752
43347842343,296823,4391696
841369730029,296652,219898452
36813615264,283430,441327645
43758115945,281366,281366
37634715691,280994,966912758
43347802056,280155,359078
40103883187,274350,378731220
43758119527,271822,480777
43761692733,267599,1345188
44168510841,267288,267288
841369731122,261983,885390599
43754617247,257210,368066
43754580754,256981,256981
38431067044,256769,71684464
841369733149,252944,1083797372
43758080308,247284,247284
43758080300,243245,401083
43758078881,242099,242099
41292526592,241649,1462759509
43758119611,241042,241042
43344266041,240563,327551
33870652372,234944,1894971137
43761694116,233921,233921
44172006824,233508,382857
841369732059,232934,754688719
43758156371,226872,353874
43761655217,222653,222653
36321148055,220556,1388320959
43758078898,219038,219038
43758117083,219008,219008
43761694758,218306,218306
841369743364,216243,476957107
43758152851,215418,215535
37985135096,214480,193251650
37578234939,212462,345220714
44172048762,211883,211883
43754619621,211214,228680
43758153379,209037,228014
44172010827,206149,206149
44168473322,204382,208985
43758119813,204183,204183
44164971399,203606,352492
44164931144,203320,1602769
43351300296,202422,249172
43758078040,202120,202120
40875022104,201561,184660693
23990386493,197479,1922969485
43754579411,193874,576930
43758114399,192789,192789
44168512597,190651,363046
43351297591,187065,258677
44172007567,186238,186238
43754577242,185836,222069
43761651644,185725,306609
44172045923,184809,193788
44168472113,183090,183090
42933748468,181134,3672522
44168471286,180716,180716
43344226545,179475,264065
43761652753,179467,197450
43347802793,179371,222101
841369739532,179227,1456246941
44171965757,179030,179030
43347763482,176917,177255
15721818805,176617,3448493625
43758115130,175302,175302
44164933682,174187,174187
44164974294,172889,6691109
43347803443,172233,323932
35533809693,172085,635333273
43761650674,171438,171438
43758117682,170481,170481
43754576930,170223,209239
43351261259,169543,625100
44172011799,168032,292396
