body,boxed_size,full_size
841369740294,32561243,373483069
18693424880,26034315,1320114616
21969155489,24216220,1153219302
17855074156,23059079,917406382
841369740400,22860916,996650510
21159212478,20842426,1077152454
17444642621,20147279,395078307
841369733837,19164676,257883665
841369731233,15854552,643402136
18269045187,14887340,503685077
16623969379,14537380,3312175500
19500235196,14422110,2416463521
841369749072,13649475,2952490008
16627547474,12341321,1616415729
841369748872,12083722,347896376
20713363060,12069895,729729865
841369735984,11773540,292160536
5474084649,11367434,8210970770
841369739617,11046829,703553098
841369729880,10695410,9242937424
841369748871,9980089,441805988
841369734385,9686526,313042539
841369732487,9652862,246086606
20342206975,8983777,607110693
21548113130,8666563,2132145732
18265465781,8543314,443054833
841369731986,8329473,806321985
841369735019,8143903,2180199529
841369735702,8116508,2114504796
841369751088,7954696,4552096819
12019073384,7388002,5484261365
11607971316,7281057,9339832614
20342205973,7279486,724350562
19089871083,7125754,242214264
20745395471,7091792,674171762
841369731232,7081422,399007905
17037942655,6896138,414035562
17030704803,6817611,410106589
18276127244,6798511,1012243406
20738248981,6557724,357796512
841369731850,6509095,145024104
19914052198,6451345,804464873
18272541995,6427962,980724860
841369732899,6388265,479125048
21159057929,6261325,248589759
19500233901,6247183,3583498162
19107409353,6135532,3326467960
841369731424,6122116,923664607
841369741390,5990180,667064817
19921153252,5936971,3647289133
20320784135,5578319,305810408
20741712275,5523209,448807288
20324389936,5494082,1180801280
841369735112,5476676,231126710
841369735024,5033555,766522224
841369739904,4829059,356113637
841369735979,4745503,1365786901
841369746458,4715081,333386805
841369737687,4634665,265394253
841369746105,4586289,319067511
841369739905,4542074,313546701
20303017551,4420320,883652515
20752509199,4257292,323074020
841369735117,4163043,243445955
23607028892,4111635,455061189
20320864992,4021819,854363104
841369737690,3994708,452094236
841369738810,3937348,256763733
21552232690,3810604,1313884210
841369751228,3784698,1800033944
841369747211,3701723,2422759460
21548300281,3696852,86967849
841369749817,3663422,3983146604
841369731987,3639612,551578586
841369734265,3569328,2962873690
5891387077,3514277,665228677
19910433234,3451916,496177274
841369732186,3448357,782474371
841369737172,3405468,259403362
841369731577,3387800,370987563
19885702272,3371664,430997479
19079019083,3332256,433772975
16582299666,3290599,866639878
841369751031,3281312,3371646493
841369737231,3272876,396083385
841369732455,3244279,353420056
841369736389,3235790,258013880
841369735982,3180913,392896673
21120379235,3157962,686185630
21120021446,3111957,2797203526
21159214912,3105637,935511819
9995673729,2993745,1422551750
841369739087,2986554,549617833
17430444081,2955941,1189928733
841369751084,2950653,7142363929
19924738299,2929597,906692306
841369738359,2831083,365610773
20731170280,2738157,1023892104
841369734272,2722151,1190751386
16206537740,2696536,872197023
841369738814,2641459,340468484
24431317179,2604707,2790797
841369732545,2591441,200014641
841369750405,2559356,255878360
5855926610,2553648,1649724946
841369729957,2484475,486333109
841369742156,2455154,356488980
841369749071,2444241,392344720
16213607530,2372711,4026924863
19089868937,2341787,2873180632
24017384146,2334353,8700637
19906857420,2334338,3443852730
24020928432,2328397,2328397
18693676859,2309199,981186970
16213661328,2271528,1193422133
841369736321,2244902,922675648
19496648667,2138616,1296800709
24838092060,2132450,2196630
19910390329,2122777,404345180
19107401852,2073131,145641530
17037944376,2062558,608264052
841369729990,2040467,369229515
9149574815,1998788,4757196476
841369744779,1982213,187172993
841369732878,1979661,912748157
24841629576,1885091,2049764
5481813608,1882615,4347362025
841369729882,1841241,5087112689
19950162000,1839182,1029785310
841369730501,1804808,345496935
19110952827,1795410,319140683
841369733677,1787265,552433805
18686393532,1749818,157623565
18286731368,1743909,3508359011
21530649499,1712791,472429521
841369737399,1685195,655072501
24024504667,1665474,260739200
841369745196,1641115,366745638
24431283876,1631211,1631211
18700716429,1608051,1611843735
21544846642,1568831,2161475400
841369738808,1566528,2395540929
20724182867,1512879,427830298
841369751578,1511196,869888183
23610652436,1495800,441489126
24020888321,1492516,1659949
23610685073,1480021,5719387
2984113048,1453764,9575276153
24427776576,1426485,1426485
17448260447,1391287,168830058
