body,boxed_size,full_size
841369739551,45612122,892432081
51451571,38328357,554667329
47953397,34143722,1243660008
841369739550,32120588,635223821
51451580,28374316,1156340430
841369730908,28229863,378210050
47914076,27140859,540332021
47953361,20920947,1071623337
841369749845,17582636,409686250
51451566,17424621,435079403
51451579,17308506,2803820815
51452286,16800230,334975350
2499281884,14653996,11639654481
2520812602,14127790,1632632577
51490873,12964191,289871117
841369732907,12839961,784933526
1741891388,12407985,554109286
55107048,11883830,662459700
51451582,11399933,588386940
51451590,10800861,215971064
54949809,10734634,498387230
2127920117,10415325,876438998
841369732918,10365380,188808636
5010854768,9627213,542436926
841369731846,9091735,510943202
47953377,8959419,271549897
2177357856,8577294,1010876899
51569511,8495060,1486634194
58565955,8372563,1187569335
841369741904,8128092,899922158
51451587,7806193,301664403
51451599,7719309,225831503
841369731848,7525220,395216276
51490877,7416325,533640985
47953369,7342058,491371653
47953360,7188426,572240248
51451593,7141980,317448956
51490867,7017832,610235060
51415123,6750709,598520189
841369736264,6674100,602671043
3797717553,6571065,396580257
51569521,6478453,633364939
841369733466,6458566,300450651
2548886085,6264035,457369940
47914081,6056795,278904397
47915203,6005490,505192972
841369749162,5970863,111997879
3769137436,5782008,950722337
3762059020,5743718,1900249840
3369636797,5214623,364905586
51451584,5151419,448373925
841369751785,5125187,639959069
841369734008,5046905,4588308796
2531116855,5039364,1993880613
47914085,4936085,583546537
51490884,4898592,536754338
1717603167,4860395,1995173377
1689656067,4768613,3617652914
841369736431,4760229,1032237227
2984310154,4735947,467614862
5835019135,4628174,4723286
3362121655,4618860,2060146074
51451586,4385763,503042704
841369740641,4382577,634983817
3762058278,4322717,825473371
841369730585,4227443,794683754
2934194120,4143386,931062208
3772716990,4096030,647144454
841369739709,4000998,411852061
2145523557,3977402,1488520789
841369736262,3971919,749911444
841369732170,3684975,1850314601
5014351792,3497193,1627681090
3376741439,3492095,966714349
3369636571,3372868,1442521744
841369735610,3362307,1646434880
1713981216,3360461,2519674472
841369732498,3349305,444937729
841369730425,3347398,988326426
841369737350,3319580,622142524
3383784000,3277280,1509122430
1713941900,3276565,1231468567
47914082,3255763,623078943
2552067727,3132471,409274984
5842098423,3070155,999269408
3373126301,3008631,837935858
3783562018,3001310,1083311654
841369751756,2990489,607139029
2548530133,2985637,751480694
841369743032,2973284,859455450
1359960119,2945314,802271191
841369748722,2927581,915760552
47914067,2821634,4744576369
841369743885,2769309,728779783
6252491091,2745595,3631320
841369745681,2736573,22728571
841369731440,2679368,290333199
5852866969,2658960,5727524928
841369732881,2587338,1044962885
5014348483,2528078,1202772952
3366168896,2457834,1206691083
2941309738,2424540,1464672322
55067762,2404188,313737731
51451612,2398744,924037444
5838598054,2333193,6520124
4675031707,2279205,3506570309
2134875045,2273616,2093819373
47953351,2167558,559722370
1338814037,2138470,566144141
1717605222,2088869,705902774
2141949227,2078219,2177829807
841369746595,2072741,309694587
2534609597,2043014,1270669038
6248910522,2033659,2033659
841369731606,1975540,434654802
841369735480,1968322,292593616
3765603231,1947235,2967837862
3793940017,1930159,554389558
5838597050,1923496,1951076
5007310212,1907346,1861257300
841369737385,1861386,754793901
6655769416,1818526,2078445
3765635650,1788906,5038803324
2994572359,1734785,1790037473
6252447760,1721196,1721196
5431778850,1688863,1107237730
1721017671,1666056,1042410380
1738431603,1638656,1719709616
841369750883,1581949,14281038
841369731891,1570326,348469625
841369734923,1557228,1270342248
51569518,1547450,246871943
2159354105,1536612,1025753678
1349383515,1533815,877374770
5834981369,1505803,1596979
841369740836,1498726,529114296
841369740448,1458424,1714440496
3369633722,1421658,320990537
841369734587,1394082,219207301
48073721,1374784,1180013227
54910503,1342107,4605102170
5838518843,1317826,4502465
841369741759,1316681,673799159
1713941503,1305475,2243264526
6252449646,1296346,2523826
5838596927,1276899,1276899
2955381228,1276615,1286261744
841369737081,1246940,1666621100
3762059613,1218910,1086389137
1349775784,1174283,792717380
0,1174070,0
6252453711,1163353,1669373
2987217213,1155767,749296864
841369732852,1152460,1105215137
841369750841,1148740,19441522
2534610137,1147302,290203278
841369733478,1084797,1316946585
1756592206,1039200,2653058612
5421167492,1027079,7300684
6245372787,1015982,1207772
4204256566,1013933,1328149401
2948469901,1000744,2138909742
4190068376,998961,2197155962
4604153605,998642,634560893
6659266592,927933,1949054
3751644119,924917,560442095
6248914847,915235,915235
2544947303,903148,508699136
2124422490,888538,1658148926
3765557263,876171,1248325440
476089181,868534,6038834664
841369732801,863821,858822021
841369737741,857496,629614031
4175914608,855271,1178341282
55185635,829302,3088207137
6252413200,829116,938426024
3779472177,827832,515640540
6252408535,819348,819348
1717526059,785451,810650149
5842023610,779400,10584180
5838557223,767868,861618
5424664589,760192,1064558
51451606,754288,396692071
1342263392,750615,1169751612
6252414772,746852,746852
6655725949,740943,751059
1713987615,738248,714418018
3369706165,731219,944394312
841369733477,714958,291298066
841369737383,704809,548981652
5838596854,702963,2617930
5410444092,682066,762798914
6241876556,679547,1205219
51412891,675815,1607256089
4660435211,662958,3014262045
2541732091,640046,1736180660
6252528411,622921,2520008
3376429658,598443,560798196
6241834132,593039,2917727
6248873455,582382,1139977
6252489886,569598,569598
841369731540,553884,700516382
6252410945,549875,570265
1728134655,545610,944086312
6248909556,524886,524886
6248875320,500570,1615478
841369740640,493474,655692527
3755063766,492179,661728686
6659301508,489037,530993
6662841887,487516,1391975
841369737381,483544,170419571
841369737380,481509,2191776909
3373282330,479771,1040604643
4175915545,475694,1736191705
6245375376,474058,550320
6238260453,473606,7140650
5838598233,462378,471723
4604233948,434327,22601898
3765677385,430391,454247564
841369741529,426660,335181980
1713986620,422861,2090345369
6248954211,414948,414948
841369740846,414449,106094943
2963050123,410363,1146104861
6248953932,404372,404372
5842096877,396863,396863
841369731629,391718,74985380
5421164471,388146,831574
6245371349,386934,430288
841369750832,385090,1122003538
4168880964,384825,2547010674
3001454084,381681,585417945
841369746064,378536,520368034
4596768352,374842,1216869772
6245376418,372862,523271
6245330903,370300,381660
6252485183,367482,376949
6655770822,364994,1151515
4186607411,363939,910795604
6659228392,362107,1108359
5835055059,349198,850081
6655771300,349048,426327
841369737384,341421,878927194
